code,description,validity
366,Unassigned,N/A
367,Unassigned,N/A
368,Unassigned,N/A
369,Unassigned,N/A
370,Unassigned,N/A
371,Unassigned,N/A
372,Unassigned,N/A
373,Unassigned,N/A
374,Unassigned,N/A
375,Unassigned,N/A
376,Unassigned,N/A
377,Unassigned,N/A
378,Unassigned,N/A
379,Unassigned,N/A
380,Unassigned,N/A
381,Unassigned,N/A
382,Unassigned,N/A
383,Unassigned,N/A
384,Unassigned,N/A
385,Unassigned,N/A
386,Unassigned,N/A
387,Unassigned,N/A
388,Unassigned,N/A
389,Unassigned,N/A
390,Unassigned,N/A
391,Unassigned,N/A
392,Unassigned,N/A
393,Unassigned,N/A
394,Unassigned,N/A
395,Unassigned,N/A
396,Unassigned,N/A
397,Unassigned,N/A
398,Unassigned,N/A
399,Unassigned,N/A
400,Bad Request,Broken
401,Unauthorized,Broken
402,Payment Required,Broken
403,Forbidden,Broken
404,Not Found,Broken
405,Method Not Allowed,Broken
406,Not Acceptable,Broken
407,Proxy Authentication Required,Broken
408,Request Timeout,Broken
409,Conflict,Broken
410,Gone,Broken
411,Length Required,Broken
412,Precondition Failed,Broken
413,Content Too Large,Broken
414,URI Too Long,Broken
415,Unsupported Media Type,Broken
416,Range Not Satisfiable,Broken
417,Expectation Failed,Broken
418,(Unused),Broken
419,Unassigned,N/A
420,Unassigned,N/A
421,Misdirected Request,Broken
422,Unprocessable Content,Broken
423,Locked,Broken
424,Failed Dependency,Broken
425,Too Early,Broken
426,Upgrade Required,Broken
427,Unassigned,N/A
428,Precondition Required,Broken
429,Too Many Requests,Broken
430,Unassigned,N/A
431,Request Header Fields Too Large,Broken
432,Unassigned,N/A
433,Unassigned,N/A
434,Unassigned,N/A
435,Unassigned,N/A
436,Unassigned,N/A
437,Unassigned,N/A
438,Unassigned,N/A
439,Unassigned,N/A
440,Unassigned,N/A
441,Unassigned,N/A
442,Unassigned,N/A
443,Unassigned,N/A
444,Unassigned,N/A
445,Unassigned,N/A
446,Unassigned,N/A
447,Unassigned,N/A
448,Unassigned,N/A
449,Unassigned,N/A
450,Unassigned,N/A
451,Unavailable For Legal Reasons,Broken
452,Unassigned,N/A
453,Unassigned,N/A
454,Unassigned,N/A
455,Unassigned,N/A
456,Unassigned,N/A
457,Unassigned,N/A
458,Unassigned,N/A
459,Unassigned,N/A
460,Unassigned,N/A
461,Unassigned,N/A
462,Unassigned,N/A
463,Unassigned,N/A
464,Unassigned,N/A
465,Unassigned,N/A
466,Unassigned,N/A
467,Unassigned,N/A
468,Unassigned,N/A
469,Unassigned,N/A
470,Unassigned,N/A
471,Unassigned,N/A
472,Unassigned,N/A
473,Unassigned,N/A
474,Unassigned,N/A
475,Unassigned,N/A
476,Unassigned,N/A
477,Unassigned,N/A
478,Unassigned,N/A
479,Unassigned,N/A
480,Unassigned,N/A
481,Unassigned,N/A
482,Unassigned,N/A
483,Unassigned,N/A
484,Unassigned,N/A
485,Unassigned,N/A
486,Unassigned,N/A
487,Unassigned,N/A
488,Unassigned,N/A
489,Unassigned,N/A
490,Unassigned,N/A
491,Unassigned,N/A
492,Unassigned,N/A
493,Unassigned,N/A
494,Unassigned,N/A
495,Unassigned,N/A
496,Unassigned,N/A
497,Unassigned,N/A
498,Unassigned,N/A
499,Unassigned,N/A
500,Internal Server Error,Broken
501,Not Implemented,Broken
502,Bad Gateway,Broken
503,Service Unavailable,Broken
504,Gateway Timeout,Broken
505,HTTP Version Not Supported,Broken
506,Variant Also Negotiates,Broken
507,Insufficient Storage,Broken
508,Loop Detected,Broken
509,Unassigned,N/A
510,Not Extended (OBSOLETED),Broken
511,Network Authentication Required,Broken
512,Unassigned,N/A
513,Unassigned,N/A
514,Unassigned,N/A
515,Unassigned,N/A
